id;Image;Nom;Référence;Catégorie;Prix de base;Prix final;Quantité;État
15041;http://www.convertiblecenter.fr/img/p/3/2/5/0/8/32508.jpg;MENTON - Largeur 260 cm - Canapé d'angle convertible - Méridienne réversible - Couchage 140 cm;;Angles convertibles 5 places  - 140 cm;3258.774340;1528;-5;1
15051;http://www.convertiblecenter.fr/img/p/3/2/4/8/2/32482.jpg;MENTON - Largeur 230 cm - Canapé d'angle convertible - Méridienne réversible - Couchage 120 cm;;Angles convertibles 4 places - 120 cm;3151.852730;1478;-5;1
15821;http://www.convertiblecenter.fr/img/p/3/3/8/6/8/33868.jpg;Fauteuil convertible PAIMPOL - Largeur 115 cm - Couchage 80 cm;;Fauteuils convertibles - 80 cm;1671.848190;1079;-4;1
15611;http://www.convertiblecenter.fr/img/p/3/3/6/5/7/33657.jpg;Fauteuil convertible MONTPELLIER - Largeur 100 cm - Couchage 70 cm;;Fauteuils convertibles - 70 cm;1596.916667;959;-1;1
15631;http://www.convertiblecenter.fr/img/p/3/3/6/8/1/33681.jpg;Fauteuil convertible MONTPELLIER - Largeur 130 cm - Couchage 100 cm;;Fauteuils convertibles - 100 cm;1630.250000;979;-4;1
17596;http://www.convertiblecenter.fr/img/p/3/3/1/5/2/33152.jpg;SMILE - Largeur 300 cm - Canapé d'angle convertible - Méridienne à gauche -  Couchage 160 cm;;Angles convertibles 6 places  - 160 cm;3998.333333;2399;-3;1
17597;http://www.convertiblecenter.fr/img/p/3/3/1/8/8/33188.jpg;SMILE - Largeur 260 cm - Canapé d'angle convertible - Méridienne à droite - Couchage 140 cm;;Angles convertibles 5 places  - 140 cm;3665.000000;2199;-2;1
14961;http://www.convertiblecenter.fr/img/p/3/2/8/3/0/32830.jpg;MONTPELLIER - Largeur 274 cm - Canapé d'angle convertible - Méridienne réversible - Couchage 160 cm;;Angles convertibles 6 places  - 160 cm;3622.307800;1698;-3;1
15721;http://www.convertiblecenter.fr/img/p/3/3/7/7/2/33772.jpg;Fauteuil convertible PLAISIR - Largeur 106 cm - Couchage 80 cm;;Fauteuils convertibles - 80 cm;1594.310430;1029;-5;1
17601;http://www.convertiblecenter.fr/img/p/3/3/3/4/0/33340.jpg;SMILE - Largeur 230 cm - Canapé d'angle convertible - Méridienne à gauche -  Couchage 120 cm;;Angles convertibles 4 places - 120 cm;3498.333333;2099;0;1
15731;http://www.convertiblecenter.fr/img/p/3/3/8/0/0/33800.jpg;Fauteuil convertible PLAISIR - Largeur 126 cm - Couchage 100 cm;;Fauteuils convertibles - 100 cm;1671.848190;1079;-2;1
17599;http://www.convertiblecenter.fr/img/p/3/3/2/6/8/33268.jpg;SMILE - Largeur 300 cm - Canapé d'angle convertible - Méridienne à droite - Couchage 160 cm;;Angles convertibles 6 places  - 160 cm;3998.333333;2399;0;1
14451;http://www.convertiblecenter.fr/img/p/3/2/6/9/7/32697.jpg;BASTIA - Largeur 219 cm - Canapé d'angle convertible - Méridienne réversible - Couchage 120 cm;;Angles convertibles 4 places - 120 cm;3110.872960;1528;0;1
14041;http://www.convertiblecenter.fr/img/p/3/2/4/1/0/32410.jpg;RENNES - Largeur 268 cm - Canapé d'angle convertible - Méridienne à droite - Couchage 140 cm;;Angles convertibles 5 places  - 140 cm;3098.221750;1778;-3;1
14541;http://www.convertiblecenter.fr/img/p/3/2/2/4/7/32247.jpg;BOLOGNE - Largeur 260 cm - Canapé d'angle convertible - Méridienne réversible - Couchage 140 cm;;Angles convertibles 5 places  - 140 cm;3519.200580;1728;-5;1
